"Data Source","World Development Indicators",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Central Europe and the Baltics","CEB","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","4760508005.18975","6209644722.33735","7113022301.65559","7068055800.46313","8487753971.05709","12479590208.9321","3987344035.21522","2875706656.11871","1104135931.22043","-1401398990.26279","1732842301.73854","7415430875.41857","3211638675.36715","1296468485.11389","11272032031.7993","6145560611.14267","17619590105.6882","18201459757.95","3923992380.35099","9836489996.03563","10705482106.7138","4635079538.43047","41125842698.3491","12921622028.1981","41194461342.4473","21675932593.4184","34565329908.1453","39554291512.835","47627000164.0255","43749137530.1327","28193286197.4464","32853554527.1101","24821213401.5644","-31544744559.8931","14604623573.6106","-18174488749.1749","17520176427.3642","10118227757.7492","54613667266.3425","19522678028.9495","",
"Channel Islands","CHI","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","6000000","6000000","7000000","0","-50000000","43000000","21000000","17000000","3000000","0","0","77600000","8200000","8000000","-83000000","-360800000","-188600000","-458200000","-729850000","-908100000","-34000000","-1134143397.85362","-1625098954.79401","2468635170.46041","3217411394.03819","-638785089.144024","-139271040.640313","2317291329.01807","2645298464.5573","3308467973.89693","2832954594.25711","9238473077.25599","16532381311.4977","7619480997.24463","12399495553.8056","6420718298.25392","-11483736237.315","4279794108.48694","-4723542201.45454","-3841537106.29797","-1412981623.59998","-1069435748.88532","",
"China","CHN","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","-21000000","621000000","1638000000","-3027000000","-1568000000","-1051000000","-876000000","180000000","241000000","-235000000","57000000","-3049000000","-3543000000","-789400000","-1744000000","-6943000000","3732000000","11234000000","3990732000","19405000000","10342485051.8252","-11437115819.9986","-19743601592.0469","4709837172.2624","68416515086.0359","-16442973699.6943","-34852395243.9119","-27087363798.0013","-24038442273.0131","-19639146481.0331","-47779274570.0752","-52891117744.1311","-82429447386.7501","66470061883.31","62183074236.5506","",
"Cote d'Ivoire","CIV","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1802281.66876623","-21109172.8189764","-102671210.428497","-47978390.7105016","30403300.3211107","-464392493.126087","-105076415.786798","-142301701.302612","-174497395.890207","-936094298.031944","-970819846.356387","","",
"Cameroon","CMR","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","-11030710.0190653","0","10911597.9033968","971761.551337806","-55644360.4544917","2233195.92795561","46544698.2681916","106334671.951235","74621126.8099438","26164562.1268215","410515.105730468","-44722236.999949","21016802.6176263","18187941.8346759","1592328.34114634","-94417004.4717594","-5285168.35853424","2321058.62268216","-30699349.5068239","12908836.4717894","4553538.03071947","17921125.1688028","40691795.7610416","97876623.9191604","-74326080.9539073","56874183.5841695","1502368.72060661","69795962.6474603","63644919.7534608","-703952365.815365","65104461.9459103","",
"Congo, Dem. Rep.","COD","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13400000","413200000","1833600000","1574900000","1189400000","3237400000","2136909172.89428","3532436437.31736","3355250.26438632","13643449.6114458","94148145.8011543","15954430.7793938","",
"Congo, Rep.","COG","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1989388.22296583","920726.737138336","5153602.60873641","12712903.5343617","17703451.952347","4540881.65028325","11538275.1634797","7030248.10837412","172057.718508685","-2082210.16509473","1137509.45558432","1338713.40676339","515370.58059079","1397929.10473121","21131490.2515445","-15532721.4163427","15790496.0273371","-4777415.00594462","80080554.2086153","41105148.3824191","22534926.514805","","",
"Colombia","COL","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","3999999.99996948","2999999.99996948","1999999.99998856","6017879.99993896","1085710","-41724549.9997559","3607919.99996948","2000000","2000000","3000000","2000000","11000000","2603060","2000000","6624059.99996948","2000000","3000000","1000000","-30000000","-48000000","0","-179000000","4000000","-86000000","-125900000","-497600000","-211869337.91354","-1436556660.15272","-1683963823.2254","-932667384.941814","-1201743520.93274","624809594.035808","-174666889.243189","-1127367087.44187","325829401.706813","1355200338.65534","-229541738.035354","1483647015.76349","2161464466.72786","185515159.613875","1011559638.34994","-3596426673.62085","87969349.7264708","-6170778412.43442","-4769352495.38749","-7437998248.89891","-11564821083.1925","-10282987438.5631","-3717792787.79742","",
"Comoros","COM","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","407047.092636911","312811.489039601","-404743.141530081","0","0","222588.674565544","0","0","0","0","0","0","0","0","0","0","","","","","","","","11470.508738353","20191.1186132585","25277.9750565322","25499.2900281636","27820.2601186754","29774.8326806213","47156.5053614104","44957.9818600827","0","0","","","","","",
"Cabo Verde","CPV","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-2987657.67909966","122834.356952975","-1451541.36915182","","","","0","-158852.310282344","-3733474.08053181","-136400.243875729","-5616858.26975947","-5363751.34723721","0","19591400.4458243","27467080.0549105","20492410.8727161","35663250.0967635","40378020.1809339","",
"Costa Rica","CRI","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","-3500000","-20900000","0","-122000000","2400000","1900000","2600000","200000","13500000","2500000","0","6000000","13200000","28200000","13000000","16900000","5100000","1200000","24800000","21540000","-76690000","79820000","-85171741","163340200.901857","-24384978.1561329","-109276346.129744","-17219991.0142152","52122436.0192112","137868600.622678","286163347.568839","92997547.5720718","-249487065.587263","277988814.438028","-229151929.109842","-236908818.497702","-2137825478.48496","-2206092835.76989","-575135570.374734","-572810644.011184","-381391669.954173","",
"Caribbean small states","CSS","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-129709497.206704","-364525139.664804","-198402234.636872","-340938547.486034","-338292178.77095","-207201117.318436","",
"Cayman Islands","CYM","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","192996.88293951","0","0","-92595416.156249","37984638.4155312","-125745943.670554","-52497106.819934","52271270.4699823","160100448.809507","137924886.195391","73127122.7104214","-109360365.105352","-194853254.160386","243117316.537365","283736203.842558","-268461831.090565","576588134.737626","-281277650.890568","-1166466444.83977","53736897.2124078","148328466.291114","495604535.883274","16490963896.7135","14677481453.8162","1329644745.63147","-11122539773.9778","-7159378534.8041","-16759533331.8927","-4185715554.45507","-2282627065.85689","-3919784681.42956","",
"Czech Republic","CZE","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1607680506.93189","-846594015.763093","-1370159505.12571","-720338540.591063","-992652186.537011","-1101863992.80857","1382221105.47956","1753932321.83225","-923177763.404915","1558688352.3761","1180698607.7655","-1971735865.52597","3385714904.17915","1127313529.68175","2736101019.2426","40319383.2957435","-8587721032.40067","-7730548253.86315","-362051833.850725","-2786207616.63241","-4723384137.46764","4403710533.51999","-6690256679.48928","-6844038983.20745","",
